"filename", "language", "JSON", "JavaScript", "PHP", "Markdown", "XML", "CSS", "JSON with Comments", "comment", "blank", "total"
"c:\laragon\www\hyperbeast\resources\js\Components\article\ArticleHero.jsx", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\laragon\www\hyperbeast\resources\js\Components\article\ArticleMetrics.jsx", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\laragon\www\hyperbeast\resources\js\Components\article\AuthorBio.jsx", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 2, 35
"c:\laragon\www\hyperbeast\resources\js\Components\article\FloatingActionButtons.jsx", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"c:\laragon\www\hyperbeast\resources\js\Components\article\RelatedArticleCard.jsx", "JavaScript", 0, 40, 0, 0, 0, 0, 0, 0, 2, 42
"c:\laragon\www\hyperbeast\resources\js\Components\article\comments\CommentForm.jsx", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 2, 25
"c:\laragon\www\hyperbeast\resources\js\Components\article\comments\CommentItem.jsx", "JavaScript", 0, 86, 0, 0, 0, 0, 0, 0, 7, 93
"c:\laragon\www\hyperbeast\resources\js\Components\article\comments\CommentList.jsx", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 206, 17, 223
"c:\laragon\www\hyperbeast\resources\js\Components\article\comments\CommentSection.jsx", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\laragon\www\hyperbeast\resources\js\Components\articles\ArticlesCards.jsx", "JavaScript", 0, 103, 0, 0, 0, 0, 0, 0, 6, 109
"c:\laragon\www\hyperbeast\resources\js\Components\articles\ArticlesList.jsx", "JavaScript", 0, 184, 0, 0, 0, 0, 0, 0, 6, 190
"c:\laragon\www\hyperbeast\resources\js\Components\articles\RecentPosts.jsx", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 0, 3, 80
"c:\laragon\www\hyperbeast\resources\js\Components\common\Footer.jsx", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 0, 3, 67
"c:\laragon\www\hyperbeast\resources\js\Components\common\Navbar.jsx", "JavaScript", 0, 203, 0, 0, 0, 0, 0, 0, 13, 216
"c:\laragon\www\hyperbeast\resources\js\Components\common\SearchBar.jsx", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 4, 37
"c:\laragon\www\hyperbeast\resources\js\Components\common\Sidebar.jsx", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 4, 39
"c:\laragon\www\hyperbeast\resources\js\Components\common\ToggleSwitch.jsx", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 4, 23
"c:\laragon\www\hyperbeast\resources\js\Components\dashboard\DashboardHeader.jsx", "JavaScript", 0, 132, 0, 0, 0, 0, 0, 0, 10, 142
"c:\laragon\www\hyperbeast\resources\js\Components\dashboard\DashboardMain.jsx", "JavaScript", 0, 277, 0, 0, 0, 0, 0, 0, 16, 293
"c:\laragon\www\hyperbeast\resources\js\Components\dashboard\DashboardSideBar.jsx", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 1, 7, 69
"c:\laragon\www\hyperbeast\resources\js\Components\feedback\FeedbackForm.jsx", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 0, 6, 84
"c:\laragon\www\hyperbeast\resources\js\Components\feedback\FeedbackHero.jsx", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 2, 16
"c:\laragon\www\hyperbeast\resources\js\Components\profile\ProfileEditModal.jsx", "JavaScript", 0, 195, 0, 0, 0, 0, 0, 0, 17, 212
"c:\laragon\www\hyperbeast\resources\js\Components\profile\ProfileHeader.jsx", "JavaScript", 0, 81, 0, 0, 0, 0, 0, 0, 5, 86
"c:\laragon\www\hyperbeast\resources\js\Components\profile\ProfileMain.jsx", "JavaScript", 0, 182, 0, 0, 0, 0, 0, 0, 9, 191
"c:\laragon\www\hyperbeast\resources\js\Components\sections\ArticleIndexSection.jsx", "JavaScript", 0, 75, 0, 0, 0, 0, 0, 0, 5, 80
"c:\laragon\www\hyperbeast\resources\js\Components\sections\ArticleInteractions.jsx", "JavaScript", 0, 67, 0, 0, 0, 0, 0, 0, 12, 79
"c:\laragon\www\hyperbeast\resources\js\Components\sections\Comments.jsx", "JavaScript", 0, 64, 0, 0, 0, 0, 0, 1, 6, 71
"c:\laragon\www\hyperbeast\resources\js\Components\sections\HeroSection.jsx", "JavaScript", 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\laragon\www\hyperbeast\resources\js\Components\sections\Newsletter.jsx", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 0, 6, 63
"c:\laragon\www\hyperbeast\resources\js\Layouts\AuthenticatedLayout.jsx", "JavaScript", 0, 163, 0, 0, 0, 0, 0, 0, 14, 177
"c:\laragon\www\hyperbeast\resources\js\Layouts\DashboardLayout.jsx", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 6, 35
"c:\laragon\www\hyperbeast\resources\js\Layouts\GuestLayout.jsx", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\laragon\www\hyperbeast\resources\js\Pages\404.jsx", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 2, 26
"c:\laragon\www\hyperbeast\resources\js\Pages\About.jsx", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\laragon\www\hyperbeast\resources\js\Pages\Article.jsx", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 1, 2, 27
"c:\laragon\www\hyperbeast\resources\js\Pages\Articles.jsx", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"c:\laragon\www\hyperbeast\resources\js\Pages\Auth\ConfirmPassword.jsx", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 10, 56
"c:\laragon\www\hyperbeast\resources\js\Pages\Auth\ForgotPassword.jsx", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 0, 10, 56
"c:\laragon\www\hyperbeast\resources\js\Pages\Auth\Login.jsx", "JavaScript", 0, 116, 0, 0, 0, 0, 0, 0, 13, 129
"c:\laragon\www\hyperbeast\resources\js\Pages\Auth\Register.bak.jsx", "JavaScript", 0, 102, 0, 0, 0, 0, 0, 0, 19, 121
"c:\laragon\www\hyperbeast\resources\js\Pages\Auth\Register.jsx", "JavaScript", 0, 153, 0, 0, 0, 0, 0, 0, 18, 171
"c:\laragon\www\hyperbeast\resources\js\Pages\Auth\ResetPassword.jsx", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 0, 15, 95
"c:\laragon\www\hyperbeast\resources\js\Pages\Auth\VerifyEmail.jsx", "JavaScript", 0, 42, 0, 0, 0, 0, 0, 0, 9, 51
"c:\laragon\www\hyperbeast\resources\js\Pages\CreatePost.jsx", "JavaScript", 0, 272, 0, 0, 0, 0, 0, 4, 19, 295
"c:\laragon\www\hyperbeast\resources\js\Pages\Dashboard.jsx", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 2, 13
"c:\laragon\www\hyperbeast\resources\js\Pages\Dashboard.old.jsx", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 3, 27
"c:\laragon\www\hyperbeast\resources\js\Pages\Dashboard\Edit.jsx", "JavaScript", 0, 163, 0, 0, 0, 0, 0, 0, 13, 176
"c:\laragon\www\hyperbeast\resources\js\Pages\Dashboard\Users.jsx", "JavaScript", 0, 715, 0, 0, 0, 0, 0, 3, 50, 768
"c:\laragon\www\hyperbeast\resources\js\Pages\Faq.jsx", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 0, 8, 86
"c:\laragon\www\hyperbeast\resources\js\Pages\Feedback.jsx", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 5, 28
"c:\laragon\www\hyperbeast\resources\js\Pages\Index.jsx", "JavaScript", 0, 29, 0, 0, 0, 0, 0, 0, 8, 37
"c:\laragon\www\hyperbeast\resources\js\Pages\Profile.jsx", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\laragon\www\hyperbeast\resources\js\Pages\Profile\Edit.jsx", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 5, 40
"c:\laragon\www\hyperbeast\resources\js\Pages\Profile\Partials\DeleteUserForm.jsx", "JavaScript", 0, 103, 0, 0, 0, 0, 0, 0, 18, 121
"c:\laragon\www\hyperbeast\resources\js\Pages\Profile\Partials\UpdatePasswordForm.jsx", "JavaScript", 0, 124, 0, 0, 0, 0, 0, 0, 19, 143
"c:\laragon\www\hyperbeast\resources\js\Pages\Profile\Partials\UpdateProfileInformationForm.jsx", "JavaScript", 0, 97, 0, 0, 0, 0, 0, 0, 17, 114
"c:\laragon\www\hyperbeast\resources\js\app.jsx", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 6, 34
"c:\laragon\www\hyperbeast\resources\js\bootstrap.js", "JavaScript", 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\laragon\www\hyperbeast\resources\views\app.blade.php", "PHP", 0, 0, 21, 0, 0, 0, 0, 0, 6, 27
"c:\laragon\www\hyperbeast\resources\views\emails\newsletter_confirmation.blade.php", "PHP", 0, 0, 92, 0, 0, 0, 0, 0, 5, 97
"c:\laragon\www\hyperbeast\resources\views\errors\404.blade.php", "PHP", 0, 0, 31, 0, 0, 0, 0, 0, 1, 32
"c:\laragon\www\hyperbeast\routes\auth.php", "PHP", 0, 0, 43, 0, 0, 0, 0, 0, 17, 60
"c:\laragon\www\hyperbeast\routes\console.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 0, 3, 9
"c:\laragon\www\hyperbeast\routes\web.php", "PHP", 0, 0, 46, 0, 0, 0, 0, 1, 15, 62
"c:\laragon\www\hyperbeast\tailwind.config.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 1, 4, 29
"c:\laragon\www\hyperbeast\tests\Feature\Auth\AuthenticationTest.php", "PHP", 0, 0, 29, 0, 0, 0, 0, 0, 13, 42
"c:\laragon\www\hyperbeast\tests\Feature\Auth\EmailVerificationTest.php", "PHP", 0, 0, 33, 0, 0, 0, 0, 0, 14, 47
"c:\laragon\www\hyperbeast\tests\Feature\Auth\PasswordConfirmationTest.php", "PHP", 0, 0, 22, 0, 0, 0, 0, 0, 11, 33
"c:\laragon\www\hyperbeast\tests\Feature\Auth\PasswordResetTest.php", "PHP", 0, 0, 41, 0, 0, 0, 0, 0, 20, 61
"c:\laragon\www\hyperbeast\tests\Feature\Auth\PasswordUpdateTest.php", "PHP", 0, 0, 32, 0, 0, 0, 0, 0, 9, 41
"c:\laragon\www\hyperbeast\tests\Feature\Auth\RegistrationTest.php", "PHP", 0, 0, 15, 0, 0, 0, 0, 0, 5, 20
"c:\laragon\www\hyperbeast\tests\Feature\ExampleTest.php", "PHP", 0, 0, 5, 0, 0, 0, 0, 0, 3, 8
"c:\laragon\www\hyperbeast\tests\Feature\ProfileTest.php", "PHP", 0, 0, 64, 0, 0, 0, 0, 0, 22, 86
"c:\laragon\www\hyperbeast\tests\Pest.php", "PHP", 0, 0, 10, 0, 0, 0, 0, 31, 7, 48
"c:\laragon\www\hyperbeast\tests\TestCase.php", "PHP", 0, 0, 6, 0, 0, 0, 0, 1, 4, 11
"c:\laragon\www\hyperbeast\tests\Unit\ExampleTest.php", "PHP", 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\laragon\www\hyperbeast\vite.config.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"Total", "-", 9400, 5358, 2052, 46, 32, 3, 10, 1071, 1196, 19168
